real, image
-0.922727, 0.090909
-0.922727, 0.136364
-0.922727, 0.181818
-0.922727, 0.227273
-0.909091, -0.227273
-0.909091, -0.181818
-0.909091, -0.136364
-0.909091, -0.090909
-0.909091, -0.045455
-0.909091, -0.000000
-0.909091, 0.045455
-0.909091, 0.090909
-0.909091, 0.136364
-0.909091, 0.181818
-0.909091, 0.227273
-0.895455, -0.227273
-0.895455, -0.181818
-0.895455, -0.136364
-0.895455, -0.090909
-0.895455, -0.045455
-0.895455, -0.000000
-0.895455, 0.045455
-0.895455, 0.090909
-0.895455, 0.136364
-0.895455, 0.181818
-0.895455, 0.227273
-0.881818, -0.181818
-0.881818, -0.136364
-0.881818, -0.090909
-0.881818, -0.045455
-0.881818, -0.000000
-0.881818, 0.045455
-0.881818, 0.090909
-0.881818, 0.136364
-0.881818, 0.181818
-0.868182, -0.227273
-0.868182, -0.181818
-0.868182, -0.136364
-0.868182, -0.090909
-0.868182, -0.045455
-0.868182, -0.000000
-0.868182, 0.045455
-0.868182, 0.090909
-0.868182, 0.136364
-0.868182, 0.181818
-0.868182, 0.227273
-0.854545, -0.181818
-0.854545, -0.136364
-0.854545, -0.090909
-0.854545, -0.045455
-0.854545, -0.000000
-0.854545, 0.045455
-0.854545, 0.090909
-0.854545, 0.136364
-0.854545, 0.181818
-0.840909, -0.181818
-0.840909, -0.136364
-0.840909, -0.090909
-0.840909, -0.045455
-0.840909, -0.000000
-0.840909, 0.045455
-0.840909, 0.090909
-0.840909, 0.136364
-0.840909, 0.181818
-0.827273, -0.136364
-0.827273, -0.090909
-0.827273, -0.045455
-0.827273, -0.000000
-0.827273, 0.045455
-0.827273, 0.090909
-0.827273, 0.136364
-0.813636, -0.136364
-0.813636, -0.090909
-0.813636, -0.045455
-0.813636, -0.000000
-0.813636, 0.045455
-0.813636, 0.090909
-0.813636, 0.136364
-0.800000, -0.136364
-0.800000, -0.090909
-0.800000, -0.045455
-0.800000, -0.000000
-0.800000, 0.045455
-0.800000, 0.090909
-0.800000, 0.136364
-0.786364, -0.136364
-0.786364, -0.090909
-0.786364, -0.045455
-0.786364, -0.000000
-0.786364, 0.045455
-0.786364, 0.090909
-0.786364, 0.136364
-0.772727, -0.090909
-0.772727, -0.045455
-0.772727, -0.000000
-0.772727, 0.045455
-0.772727, 0.090909
-0.759091, -0.045455
-0.759091, -0.000000
-0.759091, 0.045455
-0.745455, -0.045455
-0.745455, -0.000000
-0.745455, 0.045455
-0.731818, -0.136364
-0.731818, -0.090909
-0.731818, -0.045455
-0.731818, -0.000000
-0.731818, 0.045455
-0.731818, 0.090909
-0.731818, 0.136364
-0.718182, -0.181818
-0.718182, -0.136364
-0.718182, -0.090909
-0.718182, -0.045455
-0.718182, -0.000000
-0.718182, 0.045455
-0.718182, 0.090909
-0.718182, 0.136364
-0.718182, 0.181818
-0.704545, -0.272727
-0.704545, -0.227273
-0.704545, -0.181818
-0.704545, -0.136364
-0.704545, -0.090909
-0.704545, -0.045455
-0.704545, -0.000000
-0.704545, 0.045455
-0.704545, 0.090909
-0.704545, 0.136364
-0.704545, 0.181818
-0.704545, 0.227273
-0.704545, 0.272727
-0.690909, -0.272727
-0.690909, -0.227273
-0.690909, -0.181818
-0.690909, -0.136364
